월,품목명,HS코드,수출금액_USD,수출중량_KG,수출단가_USD_per_KG,YoY_pct,MoM_pct
2023.05,리드프레임,8542900000,30417853,350534,86.7758,-31.9,-0.89
2023.06,리드프레임,8542900000,26699817,291662,91.5437,-38.51,-12.22
2023.07,리드프레임,8542900000,27364907,306467,89.2915,-30.35,2.49
2023.08,리드프레임,8542900000,27879999,338974,82.2482,-31.09,1.88
2023.09,리드프레임,8542900000,25773470,288160,89.4415,-32.72,-7.56
2023.10,리드프레임,8542900000,26481508,306204,86.4832,-30.23,2.75
2023.11,리드프레임,8542900000,26105655,285342,91.489,-16.15,-1.42
2023.12,리드프레임,8542900000,23328857,231113,100.9413,-15.61,-10.64
2024.01,리드프레임,8542900000,29477276,338721,87.0252,-23.1,26.36
2024.02,리드프레임,8542900000,25376368,319963,79.3103,-16.88,-13.91
2024.03,리드프레임,8542900000,25280521,313500,80.6396,-24.09,-0.38
2024.04,리드프레임,8542900000,31925400,351722,90.7688,4.03,26.28
2024.05,리드프레임,8542900000,29945256,385810,77.6166,-1.55,-6.2
2024.06,리드프레임,8542900000,32964029,333064,98.9721,23.46,10.08
2024.07,리드프레임,8542900000,33884133,365855,92.6163,23.82,2.79
2024.08,리드프레임,8542900000,33067256,357356,92.5331,18.61,-2.41
2024.09,리드프레임,8542900000,33164835,348536,95.1547,28.68,0.3
2024.10,리드프레임,8542900000,33181617,421903,78.6475,25.3,0.05
2024.11,리드프레임,8542900000,33690483,436474,77.1878,29.05,1.53
2024.12,리드프레임,8542900000,27329609,331401,82.4669,17.15,-18.88
2025.01,리드프레임,8542900000,25471835,310250,82.101,-13.59,-6.8
2025.02,리드프레임,8542900000,25787946,320101,80.5619,1.62,1.24
2025.03,리드프레임,8542900000,27967135,332356,84.1481,10.63,8.45
2025.04,리드프레임,8542900000,34935489,414532,84.2769,9.43,24.92
2025.05,리드프레임,8542900000,30394620,369664,82.2223,1.5,-13.0
2025.06,리드프레임,8542900000,30670285,362687,84.5641,-6.96,0.91
2025.07,리드프레임,8542900000,34181974,437584,78.1152,0.88,11.45
2025.08,리드프레임,8542900000,31618850,417531,75.7281,-4.38,-7.5
2025.09,리드프레임,8542900000,36287995,418078,86.7972,9.42,14.77
2025.10,리드프레임,8542900000,31567852,367669,85.8594,-4.86,-13.01
2025.11,리드프레임,8542900000,29966662,360983,83.0141,-11.05,-5.07
2025.12,리드프레임,8542900000,27667569,335560,82.4519,1.24,-7.67
2026.01,리드프레임,8542900000,37544902,397766,94.3894,47.4,35.7
2026.02,리드프레임,8542900000,31162519,332499,93.7221,20.84,-17.0
2026.03,리드프레임,8542900000,39649543,416089,95.291,41.77,27.23
2026.04,리드프레임,8542900000,40329157,448343,89.9516,15.44,1.71
2026.05,리드프레임,8542900000,36157308,370463,97.6003,18.96,-10.34
2026.06,리드프레임,8542900000,48194253,341505,141.1231,57.14,33.29
2026.07,리드프레임,8542900000,47779913,290443,164.507,39.78,-0.86
2026.08,리드프레임,8542900000,44351055,306481,144.7106,40.27,-7.18
