월,품목명,HS코드,국가코드,국가명,수출금액_USD,수출중량_KG
2025.07,톡신,3002491000,OTHER,기타,16408211,18422
2025.08,톡신,3002491000,US,미국,2294233,2190
2025.08,톡신,3002491000,CN,중국,9206633,13726
2025.08,톡신,3002491000,JP,일본,897135,1449
2025.08,톡신,3002491000,VN,베트남,1310483,3216
2025.08,톡신,3002491000,HK,홍콩,1389193,2760
2025.08,톡신,3002491000,FR,프랑스,7206,7
2025.08,톡신,3002491000,PL,폴란드,6587,13
2025.08,톡신,3002491000,GB,영국,192935,164
2025.08,톡신,3002491000,OTHER,기타,21691448,20301
2025.09,톡신,3002491000,US,미국,7389664,4105
2025.09,톡신,3002491000,CN,중국,7237025,15251
2025.09,톡신,3002491000,JP,일본,748745,1171
2025.09,톡신,3002491000,VN,베트남,7747154,21651
2025.09,톡신,3002491000,HK,홍콩,1494151,4029
2025.09,톡신,3002491000,FR,프랑스,78108,85
2025.09,톡신,3002491000,PL,폴란드,199076,169
2025.09,톡신,3002491000,GB,영국,58274,42
2025.09,톡신,3002491000,OTHER,기타,16344663,17622
2025.10,톡신,3002491000,US,미국,17726071,9046
2025.10,톡신,3002491000,CN,중국,8708825,15196
2025.10,톡신,3002491000,JP,일본,552821,952
2025.10,톡신,3002491000,VN,베트남,1564107,3306
2025.10,톡신,3002491000,HK,홍콩,824570,1390
2025.10,톡신,3002491000,FR,프랑스,57864,75
2025.10,톡신,3002491000,PL,폴란드,29017,57
2025.10,톡신,3002491000,GB,영국,61697,51
2025.10,톡신,3002491000,OTHER,기타,12134134,12546
2025.11,톡신,3002491000,US,미국,525503,575
2025.11,톡신,3002491000,CN,중국,8548020,19379
2025.11,톡신,3002491000,JP,일본,1262116,992
2025.11,톡신,3002491000,VN,베트남,2803280,7181
2025.11,톡신,3002491000,HK,홍콩,2373324,5169
2025.11,톡신,3002491000,FR,프랑스,78565,64
2025.11,톡신,3002491000,PL,폴란드,35345,25
2025.11,톡신,3002491000,GB,영국,182509,160
2025.11,톡신,3002491000,OTHER,기타,15445248,17339
2025.12,톡신,3002491000,US,미국,3788020,3008
2025.12,톡신,3002491000,CN,중국,7247805,13755
2025.12,톡신,3002491000,JP,일본,814961,1657
2025.12,톡신,3002491000,VN,베트남,3255833,9363
2025.12,톡신,3002491000,HK,홍콩,2773836,5137
2025.12,톡신,3002491000,FR,프랑스,55718,53
2025.12,톡신,3002491000,PL,폴란드,35610,26
2025.12,톡신,3002491000,GB,영국,139911,167
2025.12,톡신,3002491000,OTHER,기타,26738421,21569
2026.01,톡신,3002491000,US,미국,3311563,1705
2026.01,톡신,3002491000,CN,중국,10832234,18013
2026.01,톡신,3002491000,JP,일본,894781,1666
2026.01,톡신,3002491000,VN,베트남,3743939,12840
2026.01,톡신,3002491000,HK,홍콩,677825,1299
2026.01,톡신,3002491000,FR,프랑스,78062,93
2026.01,톡신,3002491000,PL,폴란드,36177,40
2026.01,톡신,3002491000,GB,영국,215593,259
2026.01,톡신,3002491000,OTHER,기타,14544250,19951
2026.02,톡신,3002491000,US,미국,4110373,2402
2026.02,톡신,3002491000,CN,중국,8786724,14412
2026.02,톡신,3002491000,JP,일본,802995,1460
2026.02,톡신,3002491000,VN,베트남,1311173,4316
2026.02,톡신,3002491000,HK,홍콩,41993,33
2026.02,톡신,3002491000,FR,프랑스,10458,10
2026.02,톡신,3002491000,PL,폴란드,22349,13
2026.02,톡신,3002491000,GB,영국,109822,119
2026.02,톡신,3002491000,OTHER,기타,24833533,20800
2026.03,톡신,3002491000,US,미국,12818426,6417
2026.03,톡신,3002491000,CN,중국,11634083,20549
2026.03,톡신,3002491000,JP,일본,844936,1706
2026.03,톡신,3002491000,VN,베트남,1612703,3855
2026.03,톡신,3002491000,HK,홍콩,784827,832
2026.03,톡신,3002491000,FR,프랑스,11847,30
2026.03,톡신,3002491000,PL,폴란드,24162,9
2026.03,톡신,3002491000,GB,영국,224306,272
2026.03,톡신,3002491000,OTHER,기타,15458594,15705
2026.04,톡신,3002491000,US,미국,12611953,5983
2026.04,톡신,3002491000,CN,중국,11536330,22252
2026.04,톡신,3002491000,JP,일본,1069054,1845
2026.04,톡신,3002491000,VN,베트남,3508012,11757
2026.04,톡신,3002491000,HK,홍콩,1307725,1324
2026.04,톡신,3002491000,FR,프랑스,8819,14
2026.04,톡신,3002491000,PL,폴란드,22464,44
2026.04,톡신,3002491000,GB,영국,161128,111
2026.04,톡신,3002491000,OTHER,기타,19342246,22747
2026.05,톡신,3002491000,US,미국,15317238,7027
2026.05,톡신,3002491000,CN,중국,5461483,10594
2026.05,톡신,3002491000,JP,일본,842020,1852
2026.05,톡신,3002491000,VN,베트남,2442337,6783
2026.05,톡신,3002491000,HK,홍콩,674946,1338
2026.05,톡신,3002491000,FR,프랑스,8913,14
2026.05,톡신,3002491000,PL,폴란드,31624,48
2026.05,톡신,3002491000,GB,영국,146429,177
2026.05,톡신,3002491000,OTHER,기타,23794460,20516
2026.06,톡신,3002491000,US,미국,21206091,9759
2026.06,톡신,3002491000,CN,중국,10604533,18347
2026.06,톡신,3002491000,JP,일본,1123035,2514
2026.06,톡신,3002491000,VN,베트남,3672567,11344
2026.06,톡신,3002491000,HK,홍콩,1724119,3141
2026.06,톡신,3002491000,FR,프랑스,6312,10
2026.06,톡신,3002491000,PL,폴란드,10538,26
2026.06,톡신,3002491000,GB,영국,121114,161
2026.06,톡신,3002491000,OTHER,기타,20738415,23392
2026.07,톡신,3002491000,US,미국,26582691,11553
2026.07,톡신,3002491000,CN,중국,6492636,11430
2026.07,톡신,3002491000,JP,일본,1051976,2503
2026.07,톡신,3002491000,VN,베트남,5079031,13533
2026.07,톡신,3002491000,HK,홍콩,457095,1098
2026.07,톡신,3002491000,FR,프랑스,12344,13
2026.07,톡신,3002491000,PL,폴란드,58820,68
2026.07,톡신,3002491000,GB,영국,106889,132
2026.07,톡신,3002491000,OTHER,기타,22942329,21253
2026.08,톡신,3002491000,US,미국,27835089,11990
2026.08,톡신,3002491000,CN,중국,4254024,9457
2026.08,톡신,3002491000,JP,일본,842680,2192
2026.08,톡신,3002491000,VN,베트남,2934544,7503
2026.08,톡신,3002491000,HK,홍콩,142010,194
2026.08,톡신,3002491000,FR,프랑스,1294,4
2026.08,톡신,3002491000,PL,폴란드,23013,36
2026.08,톡신,3002491000,GB,영국,117623,139
2026.08,톡신,3002491000,OTHER,기타,15898467,16463
