월,품목명,HS코드,국가코드,국가명,수출금액_USD,수출중량_KG
2025.06,소켓,8536909090,FR,프랑스,39144,89
2025.06,소켓,8536909090,PL,폴란드,6839799,232793
2025.06,소켓,8536909090,GB,영국,170037,478
2025.06,소켓,8536909090,OTHER,기타,26167362,633876
2025.07,소켓,8536909090,US,미국,10768970,286626
2025.07,소켓,8536909090,CN,중국,18455457,389900
2025.07,소켓,8536909090,JP,일본,1303578,22743
2025.07,소켓,8536909090,VN,베트남,17807231,281208
2025.07,소켓,8536909090,HK,홍콩,1251627,6616
2025.07,소켓,8536909090,FR,프랑스,24415,61
2025.07,소켓,8536909090,PL,폴란드,8214793,288938
2025.07,소켓,8536909090,GB,영국,140495,1061
2025.07,소켓,8536909090,OTHER,기타,29174872,688439
2025.08,소켓,8536909090,US,미국,11469640,300962
2025.08,소켓,8536909090,CN,중국,18254531,336072
2025.08,소켓,8536909090,JP,일본,1011855,24719
2025.08,소켓,8536909090,VN,베트남,16734352,266663
2025.08,소켓,8536909090,HK,홍콩,1080051,7420
2025.08,소켓,8536909090,FR,프랑스,54845,89
2025.08,소켓,8536909090,PL,폴란드,4674489,166962
2025.08,소켓,8536909090,GB,영국,525142,1046
2025.08,소켓,8536909090,OTHER,기타,27513911,645582
2025.09,소켓,8536909090,US,미국,11770254,274334
2025.09,소켓,8536909090,CN,중국,21100795,354722
2025.09,소켓,8536909090,JP,일본,922663,24304
2025.09,소켓,8536909090,VN,베트남,17177593,281109
2025.09,소켓,8536909090,HK,홍콩,1070991,5855
2025.09,소켓,8536909090,FR,프랑스,62725,1084
2025.09,소켓,8536909090,PL,폴란드,4965775,146554
2025.09,소켓,8536909090,GB,영국,1003305,1021
2025.09,소켓,8536909090,OTHER,기타,33490812,933844
2025.10,소켓,8536909090,US,미국,6527398,169909
2025.10,소켓,8536909090,CN,중국,16416372,304440
2025.10,소켓,8536909090,JP,일본,1194452,21771
2025.10,소켓,8536909090,VN,베트남,13535200,205792
2025.10,소켓,8536909090,HK,홍콩,920913,5302
2025.10,소켓,8536909090,FR,프랑스,39842,266
2025.10,소켓,8536909090,PL,폴란드,2699808,65360
2025.10,소켓,8536909090,GB,영국,328740,322
2025.10,소켓,8536909090,OTHER,기타,24336381,542691
2025.11,소켓,8536909090,US,미국,10112709,263421
2025.11,소켓,8536909090,CN,중국,17858437,331805
2025.11,소켓,8536909090,JP,일본,1458802,23740
2025.11,소켓,8536909090,VN,베트남,16705112,236823
2025.11,소켓,8536909090,HK,홍콩,1591900,5959
2025.11,소켓,8536909090,FR,프랑스,68960,1265
2025.11,소켓,8536909090,PL,폴란드,3447323,83976
2025.11,소켓,8536909090,GB,영국,262453,351
2025.11,소켓,8536909090,OTHER,기타,27109866,558919
2025.12,소켓,8536909090,US,미국,7998172,192804
2025.12,소켓,8536909090,CN,중국,15956629,338108
2025.12,소켓,8536909090,JP,일본,1094233,22293
2025.12,소켓,8536909090,VN,베트남,21095961,262546
2025.12,소켓,8536909090,HK,홍콩,901787,8309
2025.12,소켓,8536909090,FR,프랑스,16141,32
2025.12,소켓,8536909090,PL,폴란드,3481599,97055
2025.12,소켓,8536909090,GB,영국,370232,905
2025.12,소켓,8536909090,OTHER,기타,34333040,757343
2026.01,소켓,8536909090,US,미국,16081504,450039
2026.01,소켓,8536909090,CN,중국,15605460,348761
2026.01,소켓,8536909090,JP,일본,1071417,17471
2026.01,소켓,8536909090,VN,베트남,20921304,248778
2026.01,소켓,8536909090,HK,홍콩,1734743,5409
2026.01,소켓,8536909090,FR,프랑스,50034,1114
2026.01,소켓,8536909090,PL,폴란드,3922235,102783
2026.01,소켓,8536909090,GB,영국,332396,159
2026.01,소켓,8536909090,OTHER,기타,31314784,642918
2026.02,소켓,8536909090,US,미국,12775962,331717
2026.02,소켓,8536909090,CN,중국,10762209,250496
2026.02,소켓,8536909090,JP,일본,1201939,18785
2026.02,소켓,8536909090,VN,베트남,12568908,192519
2026.02,소켓,8536909090,HK,홍콩,1789206,7817
2026.02,소켓,8536909090,FR,프랑스,40246,464
2026.02,소켓,8536909090,PL,폴란드,4304920,128652
2026.02,소켓,8536909090,GB,영국,209063,327
2026.02,소켓,8536909090,OTHER,기타,26467421,542157
2026.03,소켓,8536909090,US,미국,19585204,579867
2026.03,소켓,8536909090,CN,중국,19370493,410963
2026.03,소켓,8536909090,JP,일본,1030711,24369
2026.03,소켓,8536909090,VN,베트남,17298474,239255
2026.03,소켓,8536909090,HK,홍콩,1586636,12741
2026.03,소켓,8536909090,FR,프랑스,13959,186
2026.03,소켓,8536909090,PL,폴란드,3322364,105073
2026.03,소켓,8536909090,GB,영국,254889,394
2026.03,소켓,8536909090,OTHER,기타,30914775,677452
2026.04,소켓,8536909090,US,미국,17397588,489962
2026.04,소켓,8536909090,CN,중국,18345554,351530
2026.04,소켓,8536909090,JP,일본,1890717,16870
2026.04,소켓,8536909090,VN,베트남,18194142,270735
2026.04,소켓,8536909090,HK,홍콩,1231320,7927
2026.04,소켓,8536909090,FR,프랑스,2308957,1614
2026.04,소켓,8536909090,PL,폴란드,4654037,139885
2026.04,소켓,8536909090,GB,영국,369361,350
2026.04,소켓,8536909090,OTHER,기타,32987315,694969
2026.05,소켓,8536909090,US,미국,12407863,371958
2026.05,소켓,8536909090,CN,중국,18533547,382843
2026.05,소켓,8536909090,JP,일본,1823765,16126
2026.05,소켓,8536909090,VN,베트남,16694548,228623
2026.05,소켓,8536909090,HK,홍콩,1334744,6293
2026.05,소켓,8536909090,FR,프랑스,9126,136
2026.05,소켓,8536909090,PL,폴란드,4601788,141368
2026.05,소켓,8536909090,GB,영국,308285,4
2026.05,소켓,8536909090,OTHER,기타,35509468,794396
2026.06,소켓,8536909090,US,미국,15920760,481375
2026.06,소켓,8536909090,CN,중국,19042720,356403
2026.06,소켓,8536909090,JP,일본,2063094,9973
2026.06,소켓,8536909090,VN,베트남,17805879,247824
2026.06,소켓,8536909090,HK,홍콩,2078080,9299
2026.06,소켓,8536909090,FR,프랑스,19239,57
2026.06,소켓,8536909090,PL,폴란드,3953669,104727
2026.06,소켓,8536909090,GB,영국,255748,620
2026.06,소켓,8536909090,OTHER,기타,38052200,858839
2026.07,소켓,8536909090,US,미국,16355538,489056
2026.07,소켓,8536909090,CN,중국,19180798,412821
2026.07,소켓,8536909090,JP,일본,2231862,33092
2026.07,소켓,8536909090,VN,베트남,24075336,324110
2026.07,소켓,8536909090,HK,홍콩,1699909,10113
2026.07,소켓,8536909090,FR,프랑스,25957,344
2026.07,소켓,8536909090,PL,폴란드,4428556,117965
2026.07,소켓,8536909090,GB,영국,703544,918
2026.07,소켓,8536909090,OTHER,기타,46804989,1239275
2026.08,소켓,8536909090,US,미국,14849039,429215
2026.08,소켓,8536909090,CN,중국,16202661,313825
2026.08,소켓,8536909090,JP,일본,1222477,9299
2026.08,소켓,8536909090,VN,베트남,16927604,219294
2026.08,소켓,8536909090,HK,홍콩,922388,3132
2026.08,소켓,8536909090,FR,프랑스,64134,20
2026.08,소켓,8536909090,PL,폴란드,3797449,103606
2026.08,소켓,8536909090,GB,영국,169650,27
2026.08,소켓,8536909090,OTHER,기타,36880141,748577
